Corporate Name,Supervising Authority,Designation Type,Industry,Ghge,Energy,Verification
주식회사 세아베스틸지주,기후에너지환경부,업체,1차 철강 제조업,485,9,한국표준협회
주식회사 세아창원특수강,기후에너지환경부,업체,1차 철강 제조업,436291,7917,한국표준협회
주식회사 세진메탈,기후에너지환경부,사업장,1차 비철금속 제조업,33018,532,(주)한국경영인증원
주식회사 소노인터내셔널,기후에너지환경부,사업장,일반 및 생활 숙박시설 운영업,136468,2747,(주)한국경영인증원
주식회사 스타필드고양,기후에너지환경부,사업장,부동산 임대 및 공급업,25819,576,㈜한국품질보증원
주식회사 스타필드안성,국토교통부,사업장,건물,18077,374,㈜한국품질보증원
주식회사 스타필드하남,기후에너지환경부,사업장,부동산 임대 및 공급업,24865,518,㈜한국품질보증원
주식회사 신세계동대구복합환승센터,국토교통부,사업장,건물,23534,489,(주)한국경영인증원
주식회사 신한은행,국토교통부,업체,건물,70718,1173,㈜디엔브이비즈니스어슈어런스코리아
주식회사 심텍,기후에너지환경부,사업장,전자 부품 제조업,106014,2306,㈜디엔브이비즈니스어슈어런스코리아
주식회사 심팩인더스트리,기후에너지환경부,업체,1차 철강 제조업,673,12,(재)한국품질재단
주식회사 아이유제지,산업통상자원부,사업장,제지,16312,246,(주)한국경영인증원
주식회사 알테크노메탈,기후에너지환경부,사업장,금속 주조업,32283,554,(주)한국경영인증원
주식회사 알트론전주,기후에너지환경부,사업장,자동차 신품 부품 제조업,33439,0,
주식회사 에너지네트웍,기후에너지환경부,업체,폐기물 처리업,168841,317,(주)한국경영인증원
주식회사 에스알,기후에너지환경부,업체,철도 운송업,168201,3515,(주)비에스아이그룹코리아
주식회사 에스에프에이반도체,기후에너지환경부,사업장,반도체 제조업,30280,607,(주)신화엔지니어링종합건축사사무소
주식회사 에스엔엔씨,기후에너지환경부,업체,1차 비철금속 제조업,1293791,15686,(재)한국품질재단
주식회사 에스피씨삼립,기후에너지환경부,사업장,기타 식품 제조업,97440,2018,(주)비에스아이그룹코리아
주식회사 에스피에스엔에이,기후에너지환경부,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",34359,702,(재)한국품질재단
주식회사 에어퍼스트,기후에너지환경부,업체,기초 화학물질 제조업,674270,13928,한국가스안전공사
주식회사 에이팩트,산업통상자원부,사업장,전기전자,28331,589,(주)한국경영인증원
주식회사 에이프로젠바이오로직스,산업통상자원부,사업장,의약품 제조업,17335,356,로이드인증원㈜
주식회사 에코라임,기후에너지환경부,업체,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",104213,521,(주)신화엔지니어링종합건축사사무소
주식회사 에코비트에너지명성,기후에너지환경부,업체,폐기물 처리업,39036,47,한국표준협회
주식회사 에코비트에너지울산,기후에너지환경부,사업장,"증기, 냉ㆍ온수 및 공기 조절 공급업",90248,1075,한국표준협회
주식회사 에코프로에이피,산업통상자원부,사업장,석유화학,31849,665,(주)한국경영인증원
주식회사 에코프로이엠,산업통상자원부,사업장,일차전지 및 축전지 제조업,103448,2161,(주)한국경영인증원
주식회사 엘엑스하우시스,기후에너지환경부,업체,플라스틱 제품 제조업,113467,2180,㈜디엔브이비즈니스어슈어런스코리아
주식회사 엘지에너지솔루션,기후에너지환경부,업체,일차전지 및 축전지 제조업,408140,8860,한국표준협회
주식회사 엘지화학,기후에너지환경부,업체,기초 화학물질 제조업,8351819,162530,(재)한국품질재단
주식회사 영풍,기후에너지환경부,업체,1차 비철금속 제조업,766796,13573,(재)한국품질재단
주식회사 영흥산업환경,기후에너지환경부,사업장,폐기물 처리업,136221,569,㈜한국품질보증원
주식회사 우리은행,국토교통부,업체,건물,71633,1090,(주)한국경영인증원
주식회사 윈팩,기후에너지환경부,사업장,반도체 제조업,24045,500,한국표준협회
주식회사 유니드,기후에너지환경부,업체,기초 화학물질 제조업,300606,7482,로이드인증원㈜
주식회사 유니드비티플러스,기후에너지환경부,업체,나무제품 제조업,54199,2217,로이드인증원㈜
주식회사 유니큰,기후에너지환경부,업체,폐기물 처리업,89177,490,지속가능인증원주식회사
주식회사 이랜드리테일,기후에너지환경부,업체,종합 소매업,155694,3235,한국표준협회
주식회사 이엠케이승경,기후에너지환경부,사업장,폐기물 처리업,45824,521,(주)한국경영인증원
주식회사 전주원파워,기후에너지환경부,사업장,전기업,42794,6028,한국표준협회
주식회사 전주페이퍼,기후에너지환경부,업체,"펄프, 종이 및 판지 제조업",449587,8181,한국표준협회
주식회사 정선라임,기후에너지환경부,사업장,"시멘트, 석회, 플라스터 및 그 외 제품 제조업",86578,284,한국표준협회
주식회사 지알엠,기후에너지환경부,사업장,1차 비철금속 제조업,79123,963,한국표준협회
주식회사 지에스리테일 ,국토교통부,업체,건물,52444,1081,(주)한국경영인증원
주식회사 지에스이앤알,기후에너지환경부,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",632,12,(재)한국품질재단
주식회사 지에스포천그린에너지,기후에너지환경부,업체,"증기, 냉ㆍ온수 및 공기 조절 공급업",959022,13074,㈜디엔브이비즈니스어슈어런스코리아
주식회사 진로발효,기후에너지환경부,사업장,알코올 음료 제조업,30278,734,(재)한국품질재단
